50%,500,1000,,,,
92%,500,1000,,,,
8%,500,1000,,,,
97.5%,500,1000,,,,
77%,500,1000,,,,
23%,500,1000,,,,
2.5%,500,1000,,,,
98.5%,500,1000,,,,
96%,500,1000,,,,
86%,500,1000,,,,
65%,500,1000,,,,
35%,500,1000,,,,
14%,500,1000,,,,
4%,500,1000,,,,
1.5%,500,1000,,,,
99%,500,1000,99,80.62877898,0.01010,0.012402519
98%,500,1000,56.72448031,43.71498599,0.017629073,0.022875451
97%,500,1000,35.51056181,27.85677655,0.028160636,0.035897908
94%,500,1000,19.39071943,13.42261773,0.051571062,0.074501116
90%,500,1000,10.17349497,7.435436388,0.098294637,0.134491097
82%,500,1000,5.29000255,3.905279469,0.189035826,0.256063621
72%,500,1000,2.934057882,2.185294077,0.340824905,0.457604315
58%,500,1000,1.601444926,1.175139303,0.624436085,0.850962943
42%,500,1000,0.850962943,0.624436085,1.175139303,1.601444926
28%,500,1000,0.457604315,0.340824905,2.185294077,2.934057882
18%,500,1000,0.256063621,0.189035826,3.905279469,5.29000255
10%,500,1000,0.134491097,0.098294637,7.435436388,10.17349497
6%,500,1000,0.074501116,0.051571062,13.42261773,19.39071943
3%,500,1000,0.035897908,0.028160636,27.85677655,35.51056181
2%,500,1000,0.022875451,0.017629073,43.71498599,56.72448031
1%,500,1000,0.012402519,0.01010101,80.62877898,99
